makes me feel like,gibt mir das Gefühl
say!,Hören Sie mal!
beat it,die Flatter machen
cut short,das Wort abschneiden
Enjoy your meal!,Lass es dir schmecken!
Goodness gracious me!,Ach du lieber Himmel!
That beats everything!,Das ist der Gipfel!
save one's neck,seinen Hals retten
take it easy,es ruhig angehen lassen
Mud in your eye!,Hals- und Beinbruch!
die thousand deaths,tausend Tode sterben
loosen the purse strings,den Geldhahn aufdrehen
loosen the purse strings,den Geldhahn öffnen
beggar belief,nicht zu fassen sein
soft option,Weg des geringsten Widerstands
Break leg!,Hals- und Beinbruch!
Perish the thought!,Begrabe den Gedanken!
When pigs fly.,Wenn Schweine fliegen!
go places,es zu etwas bringen
go west,das Zeitliche segnen
save bacon,den Hals retten
talk big,große Töne spucken
He saw daylight.,Ihm ging ein Licht auf.
at dead of night,bei Nacht und Nebel
Just leave it be.,Lass es gut sein.
Keep your eyes peeled!,Halt die Augen offen!
eat like bird,essen wie ein Spatz
grin and bear it,es mit Fassung tragen
puff like grampus,schnaufen wie eine Lokomotive
swear like trooper,fluchen wie ein Droschkenkutscher
work like Trojan,arbeiten wie ein Pferd
Take care!,Machen Sie es gut!
put wise,ein Licht aufstecken
top off,den krönenden Abschluss geben
Here's you!,Auf Ihr Wohl!
be in blood,im Blut liegen
This is your chance.,Sie sind gefragt.
cut one's own path,seinen eigenen Weg gehen
get the ball rolling,den Stein ins Rollen bringen
give his her head,lange Leine lassen
keep one's ears open,die Ohren offen halten
not bat an eye,nicht mit der Wimper zucken
not blink an eye,nicht mit der Wimper zucken
save one's own neck,den eigenen Hals retten
set the ball rolling,den Stein ins Rollen bringen
cock of the walk,Hahn im Korb
What are you driving at?,Worauf willst du hinaus?
die from broken heart,an gebrochenem Herzen sterben
crunch numbers,über Zahlen sitzen
same old rut,alter Trott
play on,mit sein Spiel treiben
in the boondocks,am Arsch der Welt
Now you're talking!,Das ist doch (endlich) ein Wort!
Now you're talking!,Das ist endlich mal ein Wort!
You don't say!,Was Sie nicht sagen!
save one's neck,den Kopf aus der Schlinge ziehen
trade barbs with,sich mit einen Schlagabtausch liefern
Beggars cannot be choosers.,In der Not schmeckt jedes Brot.
What is your point?,Worauf wollen Sie hinaus?
without batting an eye,ohne mit der Wimper zu zucken
without raising an eyebrow,ohne mit der Wimper zu zucken
You are telling me!,Wem erzählen Sie das!
You are telling me!,Wem sagen Sie das!
You must be psychic!,Sie müssen hellsehen können!
You're on the spot!,Sie sind gefragt!
be spoilt for choice,die Qual der Wahl haben
breathe new life into,frischen Wind in bringen
dig up the truth,die Wahrheit ans Licht bringen
draw line under,einen Schlussstrich unter ziehen
grin and bear it,gute Miene zum bösen Spiel machen
not bat an eyelid,nicht mit der Wimper zucken
rest on one's laurels,sich auf seinen Lorbeeren ausruhen
show one's true colors,sein wahres Gesicht zeigen
Unverified show one's true colours,sein wahres Gesicht zeigen
take for an idiot,für dumm verkaufen
turn on its ear,frischen Wind in bringen
Is anything wrong with you?,Fehlt Ihnen etwas?
nothing but skin and bone,nichts als Haut und Knochen
Something has (got) give.,Es muss sich etwas bewegen.
The fat is in the fire.,Der Teufel ist los.
Three strikes and you're out.,"Eins zwei drei, vorbei."
Two are better than one.,Doppelt gemoppelt hält besser.
What are you driving at?,Auf was willst du hinaus?
carry the world before oneself,die Welt vor sich hertragen
get more than one bargained for,eine unangenehme Überraschung erleben
sound the death knell of,das Ende einläuten
take care of one's business,seine Geschäfte besorgen
writ large,wie er sie es im Buche steht
You've no idea!,Sie machen sich keinen Begriff!
bear in mind,sich vor Augen halten
make free with,sich gegenüber viel herausnehmen
(as) thick as pigshit,(so) dumm wie Schifferscheiße
out in the sticks,am Arsch der Welt
Please take your time.,Lassen Sie sich ruhig Zeit.
without batting an eyelash,ohne mit der Wimper zu zucken
You've asked for it.,Sie haben es heraufbeschworen.
beat black and blue,grün und blau schlagen
go into raptures (over,(über in Entzücken geraten
make clean sweep,Tabula rasa machen
put sb.in the picture,ins Bild setzen
Keep your breath cool your porridge.,Spar dir die Worte!
What are you driving at?,Worauf wollen Sie hinaus?
be slapped with lawsuit,eine Klage aufgebrummt bekommen
buy pig in poke,die Katze im Sack kaufen
cost an arm and leg,eine Stange Geld kosten
shoot oneself in the foot,sich selbst ein Ei legen
sound the death knell for,den Todesstoß versetzen
empty threat,leere Drohung
save butt,den Arsch retten
turn adrift,sich selbst überlassen
be on shitlist,auf schwarzen Liste stehen
reflect discredit on,ein schlechtes Licht auf werfen
take the veil,den Schleier nehmen
Keep your shirt on!,Mach mal nicht die Pferde scheu!
(to have) step down,den Hut nehmen (müssen)
risk one's neck for,für Kopf und Kragen riskieren
king for day,König für einen Tag
All hell has broken loose.,Da Hier ist der Teufel los.
He lies like trooper.,"Er lügt, dass sich die Balken biegen."
He made no bones about it.,Er hielt damit nicht hinterm Berg.
I'll give you what for!,Du sollst mich kennenlernen!
I'll give you what for!,Ich werde dir helfen!
Now it's dawned on me.,Jetzt ist mir ein Licht aufgegangen.
There's all hell (let) loose.,Dort ist der Teufel los.
What are you driving at?,Auf was wollen Sie hinaus?
You must go along with it.,Sie müssen mitziehen.
be holier than the pope,päpstlicher als der Papst sein
be nothing but skin and bone,nur noch Haut und Knochen sein
beat at their own game,mit seinen eigenen Waffen schlagen
give piece of one's mind,gehörig Bescheid sagen
pay an arm and leg,sich dumm und dämlich zahlen
take one's hat off,vor den Hut ziehen
take the line of least resistance,den Weg des geringsten Widerstandes gehen
be gas,zum Brüllen sein
step on toes,auf den Schlips treten
To hell with them!,Der Teufel soll sie holen!
be all at sea,neben sich stehen
cry one's eyes out,sich die Augen aus dem Kopf weinen
make no bones about,mit seiner Meinung nicht hinter dem Berg halten
work one's tail off,sich den Arsch aufreißen
whistling past the graveyard,das Pfeifen im Walde
He is not having any of it.,Er will nichts davon wissen.
He wasn't having any of it.,Er wollte nichts davon wissen.
He's sly old dog.,Er hat es faustdick hinter den Ohren.
I'll give her what for!,Der werd ich's zeigen!
I'll give him what for!,Dem werde ich's besorgen!
I'll give him what for!,Ich werde ihm schon helfen!
It was straight all downhill from there.,Von da an ging's bergab.
